acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.00118,0.659,228253,0.702,1.72e-5,0,0.0246,-7.641,0,0.0307,133.439,4,0.694
0.984,0.274,320293,0.0591,0.665,5,0.156,-22.027,0,0.0484,89.426,4,0.0765
0.992,0.525,228253,0.0553,0.933,2,0.0934,-22.358,1,0.0633,67.325,4,0.256
0.0278,0.677,166800,0.558,0.0,11,0.873,-7.622,0,0.252,95.032,4,0.564
0.00926,0.612,211200,0.731,0.846,8,0.151,-9.147,0,0.165,150.005,4,0.744
0.144,0.904,111304,0.555,0.00864,5,0.115,-5.157,1,0.082,138.084,1,0.502
0.00196,0.664,339667,0.81,1.62e-6,5,0.0559,-4.295,0,0.0983,164.052,4,0.162
0.273,0.558,213493,0.653,0.007,5,0.108,-8.312,0,0.0428,166.0,4,0.403
0.000145,0.44,168560,0.972,0.00259,10,0.206,-3.6,0,0.137,92.854,4,0.458
0.149,0.702,147873,0.815,0.00014,11,0.104,-6.669,0,0.0304,127.992,4,0.959
0.213,0.798,244240,0.659,0.00161,9,0.0664,-12.645,1,0.0389,134.073,4,0.962
0.949,0.436,130133,0.0629,1.85e-6,10,0.0959,-26.586,0,0.046,99.148,4,0.296
0.383,0.255,218507,0.0734,0.0001,9,0.2,-17.988,0,0.0333,92.884,4,0.136
0.0184,0.742,191867,0.747,0.0,2,0.12,-7.809,1,0.0574,123.943,4,0.357
0.00146,0.908,393333,0.928,0.853,1,0.0532,-5.972,1,0.173,128.024,4,0.207
0.0513,0.459,215987,0.757,0.0117,8,0.116,-7.573,0,0.0538,176.978,4,0.29
0.0884,0.632,347707,0.437,0.000623,2,0.0623,-15.56,1,0.0315,131.188,4,0.756
0.129,0.788,263813,0.918,0.000471,1,0.0513,-2.756,1,0.102,124.981,4,0.736
0.087,0.546,153173,0.915,2.24e-6,5,0.341,-3.783,1,0.0435,170.15,4,0.924
0.741,0.658,172027,0.505,0.0,0,0.0528,-9.958,1,0.231,130.49,4,0.698
0.586,0.565,238933,0.461,0.0,0,0.162,-7.273,1,0.141,157.894,4,0.199
0.158,0.784,167488,0.802,0.00882,8,0.108,-7.572,1,0.315,92.978,4,0.503
0.587,0.491,135233,0.24,0.0,5,0.116,-12.301,1,0.0498,80.24,4,0.357
0.934,0.58,187427,0.101,0.000302,10,0.0768,-15.661,1,0.0289,91.003,3,0.302
0.873,0.581,79587,0.56,0.782,6,0.106,-5.426,0,0.0819,162.103,4,0.907
0.0472,0.702,297268,0.666,0.000119,5,0.139,-8.307,0,0.0463,119.93,4,0.109
0.775,0.499,223947,0.74,0.883,2,0.0812,-9.633,1,0.029,165.002,4,0.531
0.925,0.357,198020,0.259,0.0,2,0.111,-10.512,1,0.0362,102.521,3,0.393
0.173,0.542,237827,0.749,0.942,6,0.315,-8.333,0,0.0277,94.031,4,0.674
6.64e-5,0.34,233693,0.973,0.813,1,0.319,-3.599,0,0.248,114.078,4,0.165
0.000358,0.596,151523,0.939,0.84,7,0.298,-4.659,1,0.0407,127.992,4,0.269
