acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,label
0.885,0.366,352000,0.139,0.913,7,0.0725,-19.978,1,0.039,139.478,4,0.31,1
0.124,0.863,236293,0.576,0.0,5,0.143,-5.687,0,0.239,132.054,4,0.832,0
0.184,0.631,219160,0.699,0.0,9,0.108,-7.625,0,0.0284,128.433,4,0.707,1
0.0108,0.8,201840,0.894,0.437,6,0.0285,-7.346,0,0.04,138.48,4,0.967,0
0.0044,0.788,228000,0.673,4.94e-6,9,0.0755,-9.232,1,0.199,99.979,4,0.478,0
0.0385,0.297,170107,0.613,3.98e-5,9,0.0734,-9.065,1,0.0931,170.962,4,0.338,1
0.0625,0.302,154231,0.327,0.000245,9,0.162,-12.193,1,0.0556,167.291,4,0.233,0
0.000969,0.765,221797,0.857,0.67,6,0.131,-3.811,0,0.0495,127.041,3,0.525,1
0.992,0.525,226293,0.0633,0.905,9,0.105,-23.072,1,0.0497,71.855,4,0.297,1
0.477,0.731,183987,0.897,0.000584,3,0.0804,-4.962,1,0.03,119.33,4,0.957,0
0.455,0.764,224000,0.262,0.0249,1,0.104,-17.074,0,0.446,80.047,4,0.29,0
0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371,0
0.311,0.77,279507,0.505,7.4e-5,1,0.0777,-7.345,1,0.0828,171.798,4,0.757,0
0.698,0.299,221240,0.38,1.83e-6,8,0.0883,-8.739,1,0.0299,88.377,4,0.107,1
0.0435,0.652,220571,0.75,0.0,10,0.188,-5.589,1,0.0339,94.515,4,0.465,1
0.956,0.582,232987,0.14,0.00144,10,0.135,-12.855,1,0.0364,128.338,4,0.223,1
0.0245,0.578,240867,0.875,0.0,1,0.167,-3.468,1,0.135,169.998,4,0.607,0
0.217,0.666,277547,0.721,0.0,9,0.0982,-5.848,0,0.0407,120.081,4,0.492,1
0.722,0.401,547880,0.175,9.58e-6,7,0.325,-16.699,1,0.0349,120.02,4,0.199,1
0.0511,0.717,235477,0.347,2.43e-6,11,0.087,-10.265,0,0.0636,84.987,4,0.0589,0
0.00338,0.892,213960,0.962,0.399,0,0.103,-4.603,1,0.204,126.97,4,0.231,0
0.36,0.524,115773,0.6,0.013,0,0.341,-6.767,1,0.0352,112.682,4,0.722,1
